date,ipc
1996-01-01,72.8
1996-02-01,72.9
1996-03-01,73.6
1996-04-01,73.5
1996-05-01,74.2
1996-06-01,73.8
1996-07-01,73.6
1996-08-01,72.6
1996-09-01,72.8
1996-10-01,72.9
1996-11-01,73.3
1996-12-01,73.6
1997-01-01,74.6
1997-02-01,74.0
1997-03-01,73.7
1997-04-01,73.9
1997-05-01,74.5
1997-06-01,74.6
1997-07-01,74.8
1997-08-01,74.6
1997-09-01,74.9
1997-10-01,75.1
1997-11-01,75.6
1997-12-01,75.4
1998-01-01,75.4
1998-02-01,75.2
1998-03-01,75.2
1998-04-01,75.8
1998-05-01,76.4
1998-06-01,76.8
1998-07-01,76.3
1998-08-01,76.1
1998-09-01,75.8
1998-10-01,75.4
1998-11-01,75.6
1998-12-01,75.6
1999-01-01,76.1
1999-02-01,76.0
1999-03-01,76.1
1999-04-01,76.2
1999-05-01,76.5
1999-06-01,76.3
1999-07-01,75.7
1999-08-01,75.0
1999-09-01,75.2
1999-10-01,75.6
1999-11-01,76.0
1999-12-01,76.3
2000-01-01,76.5
2000-02-01,76.8
2000-03-01,76.8
2000-04-01,77.4
2000-05-01,77.8
2000-06-01,77.8
2000-07-01,77.6
2000-08-01,77.5
2000-09-01,77.7
2000-10-01,78.0
2000-11-01,78.6
2000-12-01,78.7
2001-01-01,79.2
2001-02-01,79.5
2001-03-01,80.5
2001-04-01,81.4
2001-05-01,82.9
2001-06-01,83.0
2001-07-01,83.1
2001-08-01,82.3
2001-09-01,82.4
2001-10-01,82.7
2001-11-01,82.5
2001-12-01,82.8
2002-01-01,84.4
2002-02-01,84.2
2002-03-01,84.2
2002-04-01,84.3
2002-05-01,84.6
2002-06-01,84.5
2002-07-01,84.0
2002-08-01,83.5
2002-09-01,83.6
2002-10-01,83.9
2002-11-01,83.9
2002-12-01,84.0
2003-01-01,84.8
2003-02-01,85.2
2003-03-01,85.6
2003-04-01,85.9
2003-05-01,85.9
2003-06-01,86.7
2003-07-01,86.3
2003-08-01,86.1
2003-09-01,86.9
2003-10-01,86.5
2003-11-01,86.3
2003-12-01,86.0
2004-01-01,86.6
2004-02-01,86.2
2004-03-01,86.8
2004-04-01,87.2
2004-05-01,87.4
2004-06-01,87.8
2004-07-01,86.9
2004-08-01,85.4
2004-09-01,85.6
2004-10-01,85.6
2004-11-01,85.8
2004-12-01,86.0
2005-01-01,86.0
2005-02-01,86.6
2005-03-01,87.4
2005-04-01,87.0
2005-05-01,87.4
2005-06-01,87.2
2005-07-01,86.5
2005-08-01,85.8
2005-09-01,85.9
2005-10-01,86.0
2005-11-01,86.4
2005-12-01,86.7
2006-01-01,87.12
2006-02-01,87.58
2006-03-01,87.69
2006-04-01,87.89
2006-05-01,88.52
2006-06-01,88.52
2006-07-01,88.27
2006-08-01,87.83
2006-09-01,88.2
2006-10-01,87.88
2006-11-01,88.47
2006-12-01,88.3
2007-01-01,88.59
2007-02-01,88.2
2007-03-01,88.13
2007-04-01,88.91
2007-05-01,89.33
2007-06-01,89.68
2007-07-01,88.98
2007-08-01,88.85
2007-09-01,89.38
2007-10-01,89.89
2007-11-01,90.51
2007-12-01,91.13
2008-01-01,92.5
2008-02-01,92.65
2008-03-01,93.05
2008-04-01,93.69
2008-05-01,94.68
2008-06-01,94.86
2008-07-01,94.92
2008-08-01,93.64
2008-09-01,93.71
2008-10-01,94.17
2008-11-01,93.97
2008-12-01,94.01
2009-01-01,94.58
2009-02-01,94.59
2009-03-01,94.41
2009-04-01,94.47
2009-05-01,94.76
2009-06-01,94.16
2009-07-01,93.39
2009-08-01,92.61
2009-09-01,93.09
2009-10-01,93.53
2009-11-01,93.59
2009-12-01,93.48
2010-01-01,94.41
2010-02-01,94.49
2010-03-01,94.86
2010-04-01,95.25
2010-05-01,95.52
2010-06-01,95.36
2010-07-01,94.78
2010-08-01,93.85
2010-09-01,93.89
2010-10-01,93.97
2010-11-01,94.44
2010-12-01,94.65
2011-01-01,94.47
2011-02-01,94.78
2011-03-01,95.67
2011-04-01,95.8
2011-05-01,96.84
2011-06-01,97.1
2011-07-01,96.9
2011-08-01,96.71
2011-09-01,96.94
2011-10-01,97.3
2011-11-01,97.57
2011-12-01,97.87
2012-01-01,97.85
2012-02-01,98.38
2012-03-01,99.11
2012-04-01,99.09
2012-05-01,99.67
2012-06-01,100.1
2012-07-01,99.39
2012-08-01,98.82
2012-09-01,99.06
2012-10-01,100.0
2012-11-01,99.99
2012-12-01,100.01
2013-01-01,99.8
2013-02-01,99.84
2013-03-01,100.33
2013-04-01,100.65
2013-05-01,101.32
2013-06-01,101.79
2013-07-01,101.03
2013-08-01,100.5
2013-09-01,99.99
2013-10-01,99.88
2013-11-01,99.96
2013-12-01,100.09
2014-01-01,99.91
2014-02-01,99.74
2014-03-01,99.92
2014-04-01,99.76
2014-05-01,100.13
2014-06-01,99.9
2014-07-01,99.3
2014-08-01,98.69
2014-09-01,99.19
2014-10-01,99.58
2014-11-01,99.55
2014-12-01,99.48
2015-01-01,99.54
2015-02-01,99.73
2015-03-01,99.97
2015-04-01,99.98
2015-05-01,100.48
2015-06-01,100.21
2015-07-01,99.61
2015-08-01,99.48
2015-09-01,100.06
2015-10-01,100.6
2015-11-01,100.34
2015-12-01,100.0
2016-01-01,99.86
2016-02-01,99.82
2016-03-01,100.35
2016-04-01,100.32
2016-05-01,101.48
2016-06-01,100.74
2016-07-01,100.87
2016-08-01,101.04
2016-09-01,100.47
2016-10-01,100.4
2016-11-01,100.57
2016-12-01,100.74
2017-01-01,101.23
2017-02-01,101.51
2017-03-01,101.17
2017-04-01,101.09
2017-05-01,101.9
2017-06-01,101.57
2017-07-01,101.62
2017-08-01,101.68
2017-09-01,101.61
2017-10-01,102.08
2017-11-01,102.14
2017-12-01,102.18
2018-01-01,102.51
2018-02-01,102.36
2018-03-01,102.76
2018-04-01,102.81
2018-05-01,103.81
2018-06-01,103.61
2018-07-01,103.72
2018-08-01,104.01
2018-09-01,104.65
2018-10-01,104.46
2018-11-01,104.2
2018-12-01,104.85
2019-01-01,105.44
2019-02-01,105.52
2019-03-01,105.23
2019-04-01,105.29
2019-05-01,106.07
2019-06-01,106.19
2019-07-01,106.81
2019-08-01,107.35
2019-09-01,106.75
2019-10-01,106.22
2019-11-01,106.34
2019-12-01,107.01
2020-01-01,107.47
2020-02-01,107.39
2020-03-01,107.34
2020-04-01,109.63
2020-05-01,110.24
2020-06-01,109.18
2020-07-01,107.99
2020-08-01,108.24
2020-09-01,107.69
2020-10-01,107.92
2020-11-01,108.65
2020-12-01,108.2
2021-01-01,108.57
2021-02-01,108.31
2021-03-01,108.38
2021-04-01,109.04
2021-05-01,109.7
2021-06-01,108.87
2021-07-01,108.98
2021-08-01,109.75
2021-09-01,108.86
2021-10-01,108.65
2021-11-01,109.09
2021-12-01,109.74
2022-01-01,110.41
2022-02-01,110.82
2022-03-01,111.87
2022-04-01,113.61
2022-05-01,114.75
2022-06-01,115.7
2022-07-01,116.88
2022-08-01,118.94
2022-09-01,120.41
2022-10-01,122.63
2022-11-01,123.25
2022-12-01,123.85
2023-01-01,126.03
2023-02-01,128.3
2023-03-01,130.76
2023-04-01,131.46
2023-05-01,131.88
2023-06-01,132.21
